source,target,weight
Crassus,Pompeius,33
Crassus,Surena,13
Crassus,Cæsar,10
Crassus,Cassius,8
Crassus,Spartacus,7
Cæsar,Pompeius,7
Crassus,Sulla,6
Surena,Hyrodes,5
Pompeius,Domitius,4
Cassius,Surena,4
Crassus,Vibius,4
Crassus,Octavius,4
Crassus,Hyrodes,4
Crassus,Artavasdes,3
Crassus,Publius,3
Crassus,Cicero,3
Crassus,Imperator,3
Crassus,Ateius,3
Artavasdes,Hyrodes,3
Pompeius,Cato,3
Cato,Domitius,3
Crassus,Andromachus,3
Hyrodes,Pacorus,2
Sulla,Pompeius,2
Crassus,Petronius,2
Crassus,Pomaxathres,2
Crassus,Jason,2
Crassus,Sillakes,2
Crassus,Arsakes,2
Seleukeia,Hyrodes,2
Cæsar,Cicero,2
Cæsar,Cato,2
Pompeius,Magnus,2
Pompeius,Lucullus,2
Spartacus,Cossinus,2
Crassus,Seleukeia,2
Crassus,Coponius,2
Hyrodes,Phraates,2
Crassus,Catiline,2
Crassus,Marius,2
Crassus,Cinna,2
Censorinus,Megabacchus,2
Crassus,Cato,2
Crassus,Mummius,2
Crassus,Lucullus,2
Pomaxathres,Jason,2
Crassus,Magnus,2
Crassus,Domitius,2
Octavius,Petronius,2
Surena,Æsopus,1
Aphrodite,Juno,1
Aphrodite,Hera,1
Aphrodite,Venus,1
Domitius,Marcellinus,1
Ciceros,Catos,1
Catuli,Catos,1
Catuli,Ciceros,1
Publius,Nikomachus,1
Publius,Hieronymus,1
Quintius,Scrofas,1
Caius Cannicius,Castus,1
Hieronymus,Nikomachus,1
Lucullus,Scipio Antiochus,1
Lucullus,Tigranes,1
Jason,Agave,1
Lucullus,Mithridates,1
Cassius,Scorpion,1
Artavasdes,Pacorus,1
Cassius,Archer,1
Jason,Pentheus,1
Cassius,Octavius,1
Cassius,Padus,1
Barinus,Cossinus,1
Jason,Euripides,1
Venus,Hera,1
Surena,Rustius,1
Pacorus,Phraates,1
Spartacus,Scrofas,1
Archer,Scorpion,1
Petronius,Pomaxathres,1
Surena,Sybaris,1
Milesiaca,Aristeides,1
Surena,Aristeides,1
Milesiaca,Rustius,1
Surena,Milesiaca,1
Surena,Artavasdes,1
Aristeides,Rustius,1
Coponius,Ignatius,1
Sillakes,Pentheus,1
Sillakes,Jason,1
Sillakes,Surena,1
Seleukeia,Surena,1
Rustius,Arsakidæ,1
Æsopus,Sybaris,1
Tigranes,Scipio Antiochus,1
Seleukeia,Vagises,1
Hera,Juno,1
Venus,Juno,1
Furius,Publius Barinus,1
Licinia,Plotinus,1
Spartacus,Quintius,1
Spartacus,Mummius,1
Crassus,Agave,1
Crassus,Euripides,1
Crassus,Caius Paccianus,1
Crassus,Ignatius,1
Crassus,Megabacchus,1
Crassus,Censorinus,1
Crassus,Ariamnes,1
Crassus,Artabazes,1
Crassus,Vagises,1
Crassus,Juno,1
Crassus,Hera,1
Crassus,Venus,1
Crassus,Aphrodite,1
Crassus,Deiotarus,1
Crassus,Gaul,1
Crassus,Catulus,1
Crassus,Onatius Aurelius,1
Crassus,Hercules,1
Crassus,Sertorius,1
Crassus,Scrofas,1
Crassus,Quintius,1
Crassus,Sicinius,1
Crassus,Great,1
Crassus,Prætor,1
Crassus,Alexander,1
Crassus,Aristoteles,1
Crassus,Archidamus,1
Crassus,Pentheus,1
Sulla,Metellus,1
Sulla,Imperator,1
Cicero,Catiline,1
Spartacus,Padus,1
Spartacus,Cassius,1
Spartacus,Lentulus,1
Spartacus,Gellius,1
Spartacus,Barinus,1
Spartacus,Dionysus,1
Lentulus Batiates,Spartacus,1
Magnus,Great,1
Imperator,Caius Paccianus,1
Imperator,Octavius,1
Alexander,Aristoteles,1
Cicero,Publius,1
Pompeius,Ateius,1
Archidamus,Marius,1
Pompeius,Mithridates,1
Licinia,Crassus,1
Pompeius,Marcellinus,1
Pompeius,Gaul,1
Pompeius,Onatius Aurelius,1
Pompeius,Sertorius,1
Pompeius,Great,1
Pompeius,Imperator,1
Pompeius,Cicero,1
Cæsar,Gaul,1
Marius,Vibius Pacianus,1
Marius,Cinna,1
Euripides,Agave,1
