node,label,type,degree,strength
Crassus,PERSON,PERSON,59,166
Pompeius,PERSON,PERSON,16,62
Surena,PERSON,PERSON,11,30
Cæsar,PERSON,PERSON,5,22
Spartacus,PERSON,PERSON,12,19
Hyrodes,PERSON,PERSON,6,18
Cassius,PERSON,PERSON,7,17
Sulla,PERSON,PERSON,4,10
Cato,PERSON,PERSON,4,10
Domitius,PERSON,PERSON,4,10
Artavasdes,PERSON,PERSON,4,8
Jason,PERSON,PERSON,6,8
Cicero,PERSON,PERSON,5,8
Octavius,PERSON,PERSON,4,8
Lucullus,PERSON,PERSON,5,7
Imperator,PERSON,PERSON,5,7
Publius,PERSON,PERSON,4,6
Seleukeia,PERSON,PERSON,4,6
Marius,PERSON,PERSON,4,5
Pomaxathres,PERSON,PERSON,3,5
Magnus,PERSON,PERSON,3,5
Petronius,PERSON,PERSON,3,5
Sillakes,PERSON,PERSON,4,5
Juno,PERSON,PERSON,4,4
Ateius,PERSON,PERSON,2,4
Rustius,PERSON,PERSON,4,4
Aphrodite,PERSON,PERSON,4,4
Vibius,PERSON,PERSON,1,4
Pacorus,PERSON,PERSON,3,4
Venus,PERSON,PERSON,4,4
Hera,PERSON,PERSON,4,4
Scrofas,PERSON,PERSON,3,3
Catiline,PERSON,PERSON,2,3
Gaul,PERSON,PERSON,3,3
Megabacchus,PERSON,PERSON,2,3
Censorinus,PERSON,PERSON,2,3
Coponius,PERSON,PERSON,2,3
Phraates,PERSON,PERSON,2,3
Quintius,PERSON,PERSON,3,3
Pentheus,PERSON,PERSON,3,3
Agave,PERSON,PERSON,3,3
Andromachus,PERSON,PERSON,1,3
Mummius,PERSON,PERSON,2,3
Euripides,PERSON,PERSON,3,3
Cinna,PERSON,PERSON,2,3
Cossinus,PERSON,PERSON,2,3
Great,PERSON,PERSON,3,3
Milesiaca,PERSON,PERSON,3,3
Aristeides,PERSON,PERSON,3,3
Æsopus,PERSON,PERSON,2,2
Sybaris,PERSON,PERSON,2,2
Caius Paccianus,PERSON,PERSON,2,2
Ignatius,PERSON,PERSON,2,2
Archer,PERSON,PERSON,2,2
Hieronymus,PERSON,PERSON,2,2
Nikomachus,PERSON,PERSON,2,2
Tigranes,PERSON,PERSON,2,2
Scipio Antiochus,PERSON,PERSON,2,2
Scorpion,PERSON,PERSON,2,2
Licinia,PERSON,PERSON,2,2
Padus,PERSON,PERSON,2,2
Catuli,PERSON,PERSON,2,2
Archidamus,PERSON,PERSON,2,2
Alexander,PERSON,PERSON,2,2
Aristoteles,PERSON,PERSON,2,2
Barinus,PERSON,PERSON,2,2
Sertorius,PERSON,PERSON,2,2
Onatius Aurelius,PERSON,PERSON,2,2
Catos,PERSON,PERSON,2,2
Ciceros,PERSON,PERSON,2,2
Vagises,PERSON,PERSON,2,2
Arsakes,PERSON,PERSON,1,2
Marcellinus,PERSON,PERSON,2,2
Mithridates,PERSON,PERSON,2,2
Dionysus,PERSON,PERSON,1,1
Deiotarus,PERSON,PERSON,1,1
Prætor,PERSON,PERSON,1,1
Vibius Pacianus,PERSON,PERSON,1,1
Arsakidæ,PERSON,PERSON,1,1
Metellus,PERSON,PERSON,1,1
Sicinius,PERSON,PERSON,1,1
Lentulus Batiates,PERSON,PERSON,1,1
Furius,PERSON,PERSON,1,1
Catulus,PERSON,PERSON,1,1
Publius Barinus,PERSON,PERSON,1,1
Gellius,PERSON,PERSON,1,1
Lentulus,PERSON,PERSON,1,1
Ariamnes,PERSON,PERSON,1,1
Caius Cannicius,PERSON,PERSON,1,1
Castus,PERSON,PERSON,1,1
Hercules,PERSON,PERSON,1,1
Plotinus,PERSON,PERSON,1,1
Artabazes,PERSON,PERSON,1,1
