place,count,normalized
Rome,15,Rome
Carrhæ,7,Carrhæ
Syria,6,Syria
Iberia,6,Iberia
Gaul,5,Gaul
Italy,4,Italy
Mesopotamia,4,Mesopotamia
Armenia,4,Armenia
Forum,3,Forum
Seleukeia,3,Seleukeia
Lucania,2,Lucania
Capua,2,Capua
Alps,2,Alps
Thrace,2,Thrace
Zeugma,2,Zeugma
Sicily,2,Sicily
Sinnaca,2,Sinnaca
Hierapolis,1,Hierapolis
Cæsar,1,Cæsar
Babylon,1,Babylon
Surena,1,Surena
Scorpion,1,Scorpion
Hyrodes,1,Hyrodes
Parthia,1,Parthia
Ichnæ,1,Ichnæ
Campania,1,Campania
Balissus,1,Balissus
Zenodotia,1,Zenodotia
Luca,1,Luca
Euphrates,1,Euphrates
Galatia,1,Galatia
Malaca,1,Malaca
Libya,1,Libya
Marsi,1,Marsi
Tudertia,1,Tudertia
Umbri,1,Umbri
Spartacus,1,Spartacus
Salenæ,1,Salenæ
Picenum,1,Picenum
Straits,1,Straits
Lucanis,1,Lucanis
Crassus,1,Crassus
Petilia,1,Petilia
Egypt,1,Egypt
Palestine,1,Palestine
Brundisium,1,Brundisium
Tralles,1,Tralles
